"","1","2","3","4","5","6","7","8","9","10","11","12"
"1",0,5516.48283731269,73103.4151158434,57843.4022898179,99858.8914410358,103807.395238016,117032.00496388,120763.420681543,134199.904690719,122998.666132371,123765.783058228,137096.236204959
"2",5516.48283731269,0,67629.6976623701,52369.6848363446,94385.1739875625,98333.6777845424,111558.287510407,115289.703228069,128726.187237246,117524.948678898,118292.065604754,131622.518751486
"3",73103.4151158434,67629.6976623701,0,15260.0128260255,75968.7490287765,79917.2528257563,93141.8625516207,96873.2782692833,110309.76227846,99108.523720112,99875.6406459683,113206.0937927
"4",57843.4022898179,52369.6848363446,15260.0128260255,0,60708.736202751,64657.2399997308,77881.8497255952,81613.2654432578,95049.7494524343,83848.5108940865,84615.6278199428,97946.0809666741
"5",99858.8914410358,94385.1739875625,75968.7490287765,60708.736202751,0,3948.50379697983,24684.0215309225,28415.4372485851,41851.9212577616,30650.6826994138,31417.79962527,44748.2527720013
"6",103807.395238016,98333.6777845424,79917.2528257563,64657.2399997309,3948.50379697983,0,28632.5253279023,32363.9410455649,45800.4250547414,34599.1864963936,35366.3034222499,48696.7565689811
"7",117032.00496388,111558.287510407,93141.8625516207,77881.8497255952,24684.0215309225,28632.5253279023,0,17937.3565316558,31373.8405408324,20172.6019824845,20939.7189083408,34270.1720550721
"8",120763.420681543,115289.703228069,96873.2782692833,81613.2654432578,28415.4372485851,32363.9410455649,17937.3565316558,0,24708.511351726,13507.2727933782,14274.3897192344,27604.8428659657
"9",134199.904690719,128726.187237246,110309.76227846,95049.7494524343,41851.9212577616,45800.4250547414,31373.8405408324,24708.511351726,0,11201.2385583478,16260.5400436766,29590.9931904079
"10",122998.666132371,117524.948678898,99108.523720112,83848.5108940865,30650.6826994138,34599.1864963936,20172.6019824846,13507.2727933782,11201.2385583478,0,5059.30148532882,18389.7546320601
"11",123765.783058228,118292.065604754,99875.6406459683,84615.6278199428,31417.79962527,35366.3034222499,20939.7189083408,14274.3897192344,16260.5400436766,5059.30148532882,0,16824.5228839488
"12",137096.236204959,131622.518751486,113206.0937927,97946.080966674,44748.2527720013,48696.7565689811,34270.1720550721,27604.8428659657,29590.9931904079,18389.7546320601,16824.5228839488,0
